實驗ID,時間區間,空方損益,空方MDD估算,空方勝率估算,空方交易次數,參數,備註
4577,10:45-11:00,-360.1,360.1,49.0%,101,25(10%)/30(15%)/45(20%),MDD/勝率為估算值
1158,11:15-11:30,-360.5,360.5,51.7%,53,15(15%)/35(20%)/45(20%),MDD/勝率為估算值
1938,11:15-11:30,-361.2,361.2,49.8%,53,25(20%)/40(20%)/40(20%),MDD/勝率為估算值
1932,11:15-11:30,-361.6,361.6,48.9%,53,25(20%)/40(15%)/45(20%),MDD/勝率為估算值
1181,11:15-11:30,-361.9,361.9,43.3%,89,15(15%)/40(20%)/40(20%),MDD/勝率為估算值
3302,11:45-12:00,-361.9,361.9,44.4%,99,20(10%)/35(10%)/50(20%),MDD/勝率為估算值
4736,10:45-11:00,-361.9,361.9,49.0%,101,25(15%)/40(15%)/40(20%),MDD/勝率為估算值
4298,10:45-11:00,-362.3,362.3,47.9%,101,20(10%)/40(10%)/45(20%),MDD/勝率為估算值
1371,11:15-11:30,-362.8,362.8,53.6%,53,20(10%)/35(20%)/40(20%),MDD/勝率為估算值
1184,11:15-11:30,-362.9,362.9,42.0%,89,15(15%)/40(20%)/45(20%),MDD/勝率為估算值
4596,10:45-11:00,-363.0,363.0,48.2%,70,25(10%)/35(10%)/45(20%),MDD/勝率為估算值
1565,11:15-11:30,-363.4,363.4,45.7%,89,20(20%)/30(20%)/50(20%),MDD/勝率為估算值
1455,11:15-11:30,-363.5,363.5,53.6%,53,20(15%)/30(20%)/45(20%),MDD/勝率為估算值
4836,10:45-11:00,-363.5,363.5,47.9%,70,25(20%)/40(10%)/40(20%),MDD/勝率為估算值
4193,10:45-11:00,-363.6,363.6,44.7%,101,15(20%)/40(10%)/50(20%),MDD/勝率為估算值
1689,11:15-11:30,-363.7,363.7,52.6%,53,25(10%)/35(15%)/45(20%),MDD/勝率為估算值
1280,11:15-11:30,-364.0,364.0,43.3%,89,15(20%)/40(15%)/40(20%),MDD/勝率為估算值
2981,11:45-12:00,-364.1,364.1,44.4%,99,15(10%)/35(15%)/40(20%),MDD/勝率為估算值
